"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"refreshHubSchema","Verb","Singular","Camel","No","No","Yes","1"
"redeploy","Verb","Singular","Lower","No","No","Yes","1"
"recordsets","Noun","Plural","Lower","No","No","Yes","1"
"readonlykeys","Noun","Plural","Lower","No","No","Yes","1"
"quotaMetrics","Noun","Plural","Camel","No","No","Yes","1"
"queryTroubleshootResult","Verb","Singular","Camel","No","No","Yes","1"
"queryStatus","Verb","Plural","Camel","No","No","Yes","1"
"queryFlowLogStatus","Verb","Plural","Camel","No","No","Yes","1"
"push","Verb","Singular","Lower","No","No","Yes","1"
"publish","Verb","Singular","Lower","No","No","Yes","1"
"publicEncryptionKey","Noun","Singular","Camel","No","No","Yes","1"
"provisionCloudAppliance","Verb","Singular","Camel","No","No","Yes","1"
"promote","Verb","Singular","Lower","No","No","Yes","1"
"profile","Verb","Singular","Lower","No","No","Yes","1"
"premiumMessagingRegions","Noun","Plural","Camel","No","No","Yes","1"
"powerOff","Verb","Singular","Camel","No","No","Yes","1"
"policySnippets","Noun","Plural","Camel","No","No","Yes","1"
"policyAssignments","Noun","Plural","Camel","No","No","Yes","1"
"pnsCredentials","Noun","Plural","Camel","No","No","Yes","1"
"performMaintenance","Verb","Singular","Camel","No","No","Yes","1"
"output","Noun","Singular","Lower","No","No","Yes","1"
"operationResults","Noun","Plural","Camel","No","No","Yes","1"
"notify","Verb","Singular","Lower","No","No","Yes","1"
"nextHop","Verb","Singular","Camel","No","No","Yes","1"
"membersCount","Noun","Singular","Camel","No","No","Yes","1"
"members","Noun","Plural","Lower","No","No","Yes","1"
"manualupgrade","Verb","Singular","Lower","No","No","Yes","1"
"managementGroups","Noun","Plural","Camel","No","No","Yes","1"
"load","Verb","Singular","Lower","No","No","Yes","1"
"listVhds","Verb","Plural","Camel","No","No","Yes","1"
"listSwagger","Verb","Singular","Camel","No","No","Yes","1"
"listSasTokens","Verb","Plural","Camel","No","No","Yes","1"
"listQueryKeys","Verb","Plural","Camel","No","No","Yes","1"
"listPublicEncryptionKey","Verb","Singular","Camel","No","No","Yes","1"
"listGatewayStatus","Verb","Plural","Camel","No","No","Yes","1"
"listFailoverTargets","Verb","Plural","Camel","No","No","Yes","1"
"listFailoverSets","Verb","Plural","Camel","No","No","Yes","1"
"listDomainRecommendations","Verb","Plural","Camel","No","No","Yes","1"
"listCredentials","Verb","Plural","Camel","No","No","Yes","1"
"listConnectionStrings","Verb","Plural","Camel","No","No","Yes","1"
"listBitLockerKeys","Verb","Plural","Camel","No","No","Yes","1"
"listApplicableSchedules","Verb","Plural","Camel","No","No","Yes","1"
"listApplicable","Verb","Singular","Camel","No","No","Yes","1"
"listAgreements","Verb","Plural","Camel","No","No","Yes","1"
"listAdminKeys","Verb","Plural","Camel","No","No","Yes","1"
"listActivationKey","Verb","Singular","Camel","No","No","Yes","1"
"linkedDatabases","Noun","Plural","Camel","No","No","Yes","1"
"limit","Noun","Singular","Lower","No","No","Yes","1"
"latest","Noun","Singular","Lower","No","No","Yes","1"
"ipFlowVerify","Verb","Singular","Camel","No","No","Yes","1"
"invokeCommand","Verb","Singular","Camel","No","No","Yes","1"
"installUpdates","Verb","Plural","Camel","No","No","Yes","1"
"importDevices","Verb","Plural","Camel","No","No","Yes","1"
"import","Verb","Singular","Lower","No","No","Yes","1"
"identities","Noun","Plural","Lower","No","No","Yes","1"
"hybridConnectionRelays","Noun","Plural","Camel","No","No","Yes","1"
"hybridConnectionPlanLimits","Noun","Plural","Camel","No","No","Yes","1"
"hubSchemas","Noun","Plural","Camel","No","No","Yes","1"
"hostName","Noun","Singular","Camel","No","No","Yes","1"
"getvpnprofilepackageurl","Verb","Singular","Lower","No","No","Yes","1"
"getssotoken","Verb","Singular","Lower","No","No","Yes","1"
"getSupportedOptimizationTypes","Verb","Plural","Camel","No","No","Yes","1"
"getLearnedRoutes","Verb","Plural","Camel","No","No","Yes","1"
"getEntityTypeImageUploadUrl","Verb","Singular","Camel","No","No","Yes","1"
"getEnrichingKpis","Verb","Plural","Camel","No","No","Yes","1"
"getDataImageUploadUrl","Verb","Singular","Camel","No","No","Yes","1"
"getBgpPeerStatus","Verb","Plural","Camel","No","No","Yes","1"
"getAdvertisedRoutes","Verb","Plural","Camel","No","No","Yes","1"
"generatevpnprofile","Verb","Singular","Lower","No","No","Yes","1"
"generatevpnclientpackage","Verb","Singular","Lower","No","No","Yes","1"
"generateUri","Verb","Singular","Camel","No","No","Yes","1"
"generateUploadUri","Verb","Singular","Camel","No","No","Yes","1"
"generateUpgradedDefinition","Verb","Singular","Camel","No","No","Yes","1"
"generateSsoUrl","Verb","Singular","Camel","No","No","Yes","1"
"generateSsoUri","Verb","Singular","Camel","No","No","Yes","1"
"generateSsoRequest","Verb","Singular","Camel","No","No","Yes","1"
"generateMap","Verb","Singular","Camel","No","No","Yes","1"
"generateKey","Verb","Singular","Camel","No","No","Yes","1"
"generateArmTemplate","Verb","Singular","Camel","No","No","Yes","1"
"generalize","Verb","Singular","Lower","No","No","Yes","1"
"galleryimages","Noun","Plural","Lower","No","No","Yes","1"
"forceReboot","Verb","Singular","Camel","No","No","Yes","1"
"forceFailoverAllowDataLoss","Verb","Plural","Camel","No","No","Yes","1"
"flaggedEnrolledApps","Noun","Plural","Camel","No","No","Yes","1"
"finish","Verb","Singular","Lower","No","No","Yes","1"
"feedbackByDate","Noun","Singular","Camel","No","No","Yes","1"
"feedbackByCampaign","Noun","Singular","Camel","No","No","Yes","1"
"failoverPriorityChange","Verb","Singular","Camel","No","No","Yes","1"
"expressRouteServiceProviders","Noun","Plural","Camel","No","No","Yes","1"
"exportResourceUsage","Verb","Singular","Camel","No","No","Yes","1"
"exportDevices","Verb","Plural","Camel","No","No","Yes","1"
"export","Verb","Singular","Lower","No","No","Yes","1"
"executeScriptActions","Verb","Plural","Camel","No","No","Yes","1"
"events","Noun","Plural","Lower","No","No","Yes","1"
"evaluatePolicies","Verb","Plural","Camel","No","No","Yes","1"
"errors","Noun","Plural","Lower","No","No","Yes","1"
"encryptionSettings","Verb","Plural","Camel","No","No","Yes","1"
"enableKeyVault","Verb","Singular","Camel","No","No","Yes","1"
"enableCustomHttps","Verb","Plural","Camel","No","No","Yes","1"
"enable","Verb","Singular","Lower","No","No","Yes","1"
"elements","Noun","Plural","Lower","No","No","Yes","1"
"effectiveRouteTable","Noun","Singular","Camel","No","No","Yes","1"
"effectiveNetworkSecurityGroups","Noun","Plural","Camel","No","No","Yes","1"
"edgenodes","Noun","Plural","Lower","No","No","Yes","1"
"dnszones","Noun","Plural","Lower","No","No","Yes","1"
"disableCustomHttps","Verb","Plural","Camel","No","No","Yes","1"
"disable","Verb","Singular","Lower","No","No","Yes","1"
"detachDataDisk","Verb","Singular","Camel","No","No","Yes","1"
"detach","Verb","Singular","Lower","No","No","Yes","1"
"deploy","Verb","Singular","Lower","No","No","Yes","1"
"deleteQueryKey","Verb","Singular","Camel","No","No","Yes","1"
"delete","Verb","Singular","Lower","No","No","Yes","1"
"deactivate","Verb","Singular","Lower","No","No","Yes","1"
"databaseAccountNames","Noun","Plural","Camel","No","No","Yes","1"
"current","Noun","Singular","Lower","No","No","Yes","1"
"createQueryKey","Verb","Singular","Camel","No","No","Yes","1"
"createEnvironment","Verb","Singular","Camel","No","No","Yes","1"
"crashes","Noun","Plural","Lower","No","No","Yes","1"
"convertToManagedDisks","Verb","Plural","Camel","No","No","Yes","1"
"containers","Noun","Plural","Lower","No","No","Yes","1"
"connectivityCheck","Verb","Singular","Camel","No","No","Yes","1"
"configureFlowLog","Verb","Singular","Camel","No","No","Yes","1"
"configureDevice","Verb","Singular","Camel","No","No","Yes","1"
"compute","Noun","Singular","Lower","No","No","Yes","1"
"cloudApplianceConfigurations","Noun","Plural","Camel","No","No","Yes","1"
"clone","Verb","Singular","Lower","No","No","Yes","1"
"clearAlerts","Verb","Plural","Camel","No","No","Yes","1"
"classicAdministrators","Noun","Plural","Camel","No","No","Yes","1"
"claimAnyVm","Verb","Singular","Camel","No","No","Yes","1"
"claim","Verb","Singular","Lower","No","No","Yes","1"
"checkTrafficManagerNameAvailability","Verb","Singular","Camel","No","No","Yes","1"
"checkSkuAvailability","Verb","Singular","Camel","No","No","Yes","1"
"checkNotificationHubAvailability","Verb","Singular","Camel","No","No","Yes","1"
"checkNamespaceAvailability","Verb","Singular","Camel","No","No","Yes","1"
"checkHubAvailability","Verb","Singular","Camel","No","No","Yes","1"
"checkDomainAvailability","Verb","Singular","Camel","No","No","Yes","1"
"checkAppCollectionNameAvailability","Verb","Singular","Camel","No","No","Yes","1"
"changerdpsetting","Verb","Singular","Lower","No","No","Yes","1"
"changeControllerPowerState","Verb","Singular","Camel","No","No","Yes","1"
"capture","Verb","Singular","Lower","No","No","Yes","1"
"cancelSync","Verb","Singular","Camel","No","No","Yes","1"
"campaignsByName","Noun","Singular","Camel","No","No","Yes","1"
"bgpServiceCommunities","Noun","Plural","Camel","No","No","Yes","1"
"backendhealth","Noun","Singular","Lower","No","No","Yes","1"
"authorizeForServiceEncryptionKeyRollover","Verb","Singular","Camel","No","No","Yes","1"
"attach","Verb","Singular","Lower","No","No","Yes","1"
"arpTables","Noun","Plural","Camel","No","No","Yes","1"
"applynetworkconfigurationupdates","Verb","Plural","Lower","No","No","Yes","1"
"applyArtifacts","Verb","Plural","Camel","No","No","Yes","1"
"applicationGatewayAvailableWafRuleSets","Noun","Plural","Camel","No","No","Yes","1"
"appCollections","Noun","Plural","Camel","No","No","Yes","1"
"alerts","Noun","Plural","Lower","No","No","Yes","1"
"addDataDisk","Verb","Singular","Camel","No","No","Yes","1"
"acceptingProcesses","Noun","Plural","Camel","No","No","Yes","1"
"acceptingPorts","Noun","Plural","Camel","No","No","Yes","1"
"UsageAggregates","Noun","Plural","Camel","No","No","Yes","1"
"RetrieveDefaultDefinition","Verb","Singular","Camel","No","No","Yes","1"
"RateCard","Noun","Singular","Camel","No","No","Yes","1"
"ListServiceSas","Verb","Plural","Camel","No","No","Yes","1"
"ListAccountSas","Verb","Plural","Camel","No","No","Yes","1"
"IotHubStats","Noun","Plural","Camel","No","No","Yes","1"
"IotHubKeys","Noun","Plural","Camel","No","No","Yes","1"
"Enable","Verb","Singular","Camel","No","No","Yes","1"
"Disable","Verb","Singular","Camel","No","No","Yes","1"
"CreateRegionalBlob","Verb","Singular","Camel","No","No","Yes","1"
"CheckIPAddressAvailability","Verb","Singular","Camel","No","No","Yes","1"
"CheckDnsNameAvailability","Verb","Singular","Camel","No","No","Yes","1"
"AndroidPolicies","Noun","Plural","Camel","No","No","Yes","1"
